feature,importance
attempt_last_card_3d_secure_support,14.01535468876843
country_code,13.788718756434209
attempt_last_card_country,11.389409686392257
attempt_last_bank_name,10.932733951278522
attempt_last_card_funding,5.262829816904414
attempt_last_billing_address_country,3.765131471164852
is_business_rate,2.9158159923634277
attempt_last_cvc_check,2.7511398507387756
quiz_source,2.2312545912382724
quiz_frustration,2.1094776911359823
quiz_usage_plan,1.88796892786882
quiz_first_feature,1.8099511534174098
quiz_team_size,1.7443913396190942
attempt_last_card_brand,1.7196941060156297
subscription_plan,1.5386166403930213
signup_hour,1.5382583654531694
attempt_last_bank_country,1.4570517372124623
signup_weekday,1.1107195681202733
quiz_role,1.0973987308143223
attempt_last_failure_code,0.9219482480326068
quiz_experience,0.8070532040040018
attempt_last_digital_wallet,0.7629994087741275
quiz_answered,0.7503790787678017
purchase_count_d1,0.742346912842045
purchase_span_days,0.7068467433235347
attempt_amount_max,0.6823032111952837
purchase_last_type,0.6777226691513051
purchase_spend_d1,0.6318432056710799
is_3d_secure_rate,0.6148639622863606
quiz_flow_type,0.5918277952227126
attempt_amount_mean,0.5642720608855394
purchase_spend_d7,0.48442494895108135
is_virtual_rate,0.4626408838919083
attempt_amount_std,0.4384509434574854
is_3d_secure_authenticated_rate,0.42505450219510904
purchase_last_day,0.4170729286254658
attempt_amount_sum,0.37614316042865514
attempt_weekend_rate,0.36683572446187485
spend_per_attempt,0.3251484127840274
attempt_last_day,0.32126604210851994
attempt_distinct_banks,0.31977548653243854
purchase_spend_d3,0.31158828099341707
purchase_spend_d14,0.3069190624054736
purchase_amount_mean,0.29480847740739335
purchase_amount_std,0.2710903225203387
attempt_span_days,0.2651896146048469
attempts_per_purchase,0.2499824112084829
attempt_success_rate,0.21025272181051655
is_prepaid_rate,0.19931045667581646
signup_is_weekend,0.19777221665359931
quiz_missing_answers,0.1731946909767294
purchase_attempt_gap,0.1680597095864043
attempt_count_d1,0.15761244914910194
attempt_failure_rate,0.1559731201880224
failures_per_purchase,0.14367305778975253
purchase_amount_sum,0.14135969671145002
quiz_cost_concern,0.1409615127337215
attempt_failures_d3,0.10713713108728735
purchase_count_d14,0.10239106316018062
purchase_amount_max,0.10029855763738633
attempt_count_d14,0.08870476935602559
attempt_count_d3,0.07691470418178795
failure_card_declined_count,0.07529747454930937
attempt_failures_d7,0.07454440682277781
activity_days_total,0.07113252083733869
purchase_count_d3,0.06803421767322722
attempt_distinct_card_countries,0.05941413700397745
purchase_active_days,0.058797741994240496
purchase_type_nunique,0.04708929746064691
attempt_count_d7,0.04288076856451121
attempt_success_count,0.03355233138480956
attempt_distinct_failures,0.028834528786348314
purchase_first_day,0.027249937104380523
attempt_distinct_cards,0.015347803483403786
purchase_unique_transactions,0.015164912715423013
attempt_failures_d1,0.014364666922419118
attempt_active_days,0.0134286203438116
purchase_count_d7,0.013264229681238584
attempt_first_day,0.008020761397559169
attempt_night_rate,0.005859193089426916
failure_authentication_required_count,0.005117726838259566
attempt_failure_count,0.0021461551413509542
purchase_count,0.0001279424413632021
attempt_count,0.0
quiz_rows,0.0
attempt_unique_transactions,0.0
failure_processing_error_count,0.0
failure_do_not_honor_count,0.0
failure_expired_card_count,0.0
failure_generic_decline_count,0.0
failure_insufficient_funds_count,0.0
attempt_failures_d14,0.0
failure_incorrect_cvc_count,0.0
attempt_last_payment_method_type,0.0
