model,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,not_churned_f1_mean,not_churned_f1_std,vol_churn_f1_mean,vol_churn_f1_std,invol_churn_f1_mean,invol_churn_f1_std
engineered_catboost_adjusted,0.5141352293948952,0.01725174705145371,0.47182604949468776,0.018775482513754584,0.6385214022194009,0.008176280283623315,0.2978210613183931,0.04914010827731006,0.4791356849462692,0.002268254519414392
engineered_catboost_raw,0.48783090807189616,0.02797427793632697,0.42320892584455844,0.03219545074263628,0.6782304582762633,0.010246988322330425,0.15823341805443022,0.08604094108056198,0.43316290120298184,0.016648514809615374
hist_gradient_boosting,0.48230261468955304,0.028393833412729542,0.41836170732028294,0.03605462460159899,0.6703048698758606,0.012113859718342227,0.17116102431762448,0.09174681776540403,0.4136192277673638,0.02183372907948592
multinomial_logistic_regression,0.47794314518981595,0.02000897278583133,0.4118297484740802,0.023069073079634364,0.6726274825510904,0.010820026814966391,0.16959135537694345,0.058544098407968356,0.39327040749420683,0.006166650201117017
simple_catboost,0.4352985811808254,0.017783043503992277,0.35929722242228723,0.02019997020812868,0.6604391668575507,0.002751943119673662,0.12998643944558647,0.0294450926634128,0.2874660609637246,0.06259281271682561
dummy_stratified,0.3785002131520288,0.0007829523582643067,0.33761605330714967,0.004840521984247177,0.5004305863868909,0.003999680317029712,0.2566553849638353,0.005813309798678367,0.2557621885707227,0.013752565708342789
dummy_most_frequent,0.3335098337608053,0.00941003115499505,0.22225227763528713,0.002509890571969163,0.6667568329058614,0.007529671715907451,0.0,0.0,0.0,0.0
