experiment,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,not_churned_f1_mean,not_churned_f1_std,vol_churn_f1_mean,vol_churn_f1_std,invol_churn_f1_mean,invol_churn_f1_std
full_with_decision_adjustment,0.5163223869587232,0.02284616308702109,0.47386380987707444,0.02328171781108871,0.6402205118364586,0.014337278268438204,0.30223757439679955,0.058867907966888115,0.4791333433979653,0.003360032802060184
base_plus_transactions,0.49882647921210477,0.03612570277232744,0.437713445975774,0.038634912733451515,0.6794602020556646,0.01907157043413251,0.21166304562991878,0.0950577365110425,0.4220170902417387,0.0017754312551795156
full_without_signup_time,0.49720465163914024,0.0340731706170954,0.4360515503390954,0.03649312829989218,0.6764579989156088,0.014578348109908396,0.19985202264925467,0.07010040080628407,0.43184462945242263,0.02480063598348392
full_without_quiz,0.4971374685103879,0.03353147175462538,0.4361295678460413,0.03478367781093099,0.6773841364876041,0.020332997677897584,0.210903024397542,0.0877836409790888,0.42010154265297783,0.0037656052241933787
full_raw,0.4954234157980948,0.031708350695567454,0.4338420949472803,0.033545789031910515,0.6762094836440407,0.014424168191249982,0.1984290952540162,0.06997229104088692,0.4268877059437841,0.016240907863594632
full_without_payment,0.48751258830772026,0.018064188381611973,0.4248613770281535,0.016090526094718997,0.6698024786182799,0.00891644939258584,0.1790127537318888,0.013443552695871845,0.4257688987342919,0.02591157619569938
base_plus_cross_ratios,0.458538993003593,0.014744965276176598,0.3929076904710129,0.013573311038745354,0.6604500837676883,0.011774529765220441,0.23220954808539235,0.06483985949739661,0.2860634395599584,0.03589445614638104
base,0.4557393041555422,0.015103979153604811,0.3898443575924165,0.0167464474012473,0.6581651609041514,0.0059617810742814865,0.21678275726113813,0.10454660649689396,0.2945851546119598,0.0602690453674335
base_plus_temporal,0.4541011289601462,0.018047803332120357,0.38701057355972746,0.01812496944806939,0.660884775154039,0.008862758124926538,0.23081565854914865,0.04795259234074155,0.26933128697599457,0.0024404421214600535
base_plus_quiz,0.4486039106382313,0.0008422517079206964,0.3803038583993342,0.007111333318335486,0.6536802980125606,0.007115826771550126,0.17329732376259455,0.006990306859387437,0.31393395342284774,0.035440133585943855
base_plus_purchases,0.4476986083732344,0.0237562381756941,0.37917446964628065,0.026422833290206362,0.660395906141422,0.007554073259491452,0.2308171073591749,0.06940139494391943,0.24631039543824512,0.002313031667208255
