experiment,fold,train_users,tuning_users,evaluation_users,evaluation_start,evaluation_end,best_iteration,decision_multipliers,iterations,depth,learning_rate,l2_leaf_reg,random_strength,weighted_f1,macro_f1,accuracy,not_churned_precision,not_churned_recall,not_churned_f1,not_churned_support,vol_churn_precision,vol_churn_recall,vol_churn_f1,vol_churn_support,invol_churn_precision,invol_churn_recall,invol_churn_f1,invol_churn_support
current,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,300,"{""invol_churn"": 1.2999999999999998, ""not_churned"": 1.0, ""vol_churn"": 2.6999999999999993}",300,7,0.06,5.0,0.5,0.5324770638016497,0.49032647041896693,0.5484,0.5936640633593664,0.7190247801758594,0.6503584985238297,7506.0,0.47540160642570284,0.26934015927189986,0.3438634713144517,3516.0,0.4804697472555527,0.47310206133735544,0.47675744141861937,3978.0
current,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,158,"{""invol_churn"": 1.4, ""not_churned"": 1.0, ""vol_churn"": 1.8999999999999997}",300,7,0.06,5.0,0.5,0.5001677101157969,0.457401149335182,0.524,0.5667533593411357,0.7093449070934491,0.6300825251490874,7373.0,0.4128009395184968,0.19041170097508126,0.2606116774791474,3692.0,0.47358073236667486,0.489707750952986,0.4815092453773113,3935.0
shallower_depth6,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,294,"{""invol_churn"": 1.0999999999999999, ""not_churned"": 1.0, ""vol_churn"": 2.7999999999999994}",300,6,0.06,5.0,0.5,0.5296081275844204,0.48461020315215936,0.5472,0.5901830106844388,0.7432720490274447,0.6579397370127955,7506.0,0.4356223175965665,0.2886803185437998,0.34724598015737257,3516.0,0.5017096673919801,0.4057315233785822,0.44864489228630994,3978.0
shallower_depth6,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,226,"{""invol_churn"": 1.4, ""not_churned"": 1.0, ""vol_churn"": 1.8999999999999997}",300,6,0.06,5.0,0.5,0.5007220914184852,0.458342769450863,0.5237333333333334,0.5676441731167557,0.7062254170622542,0.6293968330714372,7373.0,0.40694365395560617,0.1936619718309859,0.26243347403193246,3692.0,0.4751842751842752,0.49148665819567977,0.48319800124921924,3935.0
deeper_depth8,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,298,"{""invol_churn"": 1.0999999999999999, ""not_churned"": 1.0, ""vol_churn"": 2.6999999999999993}",300,8,0.06,5.0,0.5,0.526716786078932,0.48004925219280487,0.5471333333333334,0.5867066984159851,0.7549960031974421,0.6602971162248762,7506.0,0.4527503526093089,0.2738907849829352,0.3413078149920255,3516.0,0.49066583696328564,0.3964303670186023,0.4385428253615128,3978.0
deeper_depth8,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,268,"{""invol_churn"": 1.4999999999999998, ""not_churned"": 1.0, ""vol_churn"": 2.0999999999999996}",300,8,0.06,5.0,0.5,0.503521971945544,0.46499389515163364,0.5203333333333333,0.574918943955535,0.6734029567340296,0.6202760946967331,7373.0,0.3976551050317538,0.22047670639219935,0.283673113782889,3692.0,0.46930738939078065,0.514866581956798,0.49103247697527874,3935.0
slower_regularized,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,447,"{""invol_churn"": 1.1999999999999997, ""not_churned"": 1.0, ""vol_churn"": 2.8999999999999995}",450,7,0.04,10.0,1.0,0.5328666576881379,0.4902079083660869,0.5476666666666666,0.5954920285871358,0.7215560884625632,0.6524908138063972,7506.0,0.43791136463361124,0.2838452787258248,0.344434857635893,3516.0,0.49669056811913953,0.4527400703871292,0.47369805365597056,3978.0
slower_regularized,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,447,"{""invol_churn"": 1.2999999999999998, ""not_churned"": 1.0, ""vol_churn"": 1.8999999999999997}",450,7,0.04,10.0,1.0,0.5026360619953077,0.4581944711347883,0.5280666666666667,0.564881511640046,0.7338939373389394,0.6383907503539406,7373.0,0.4053751399776036,0.19609967497291442,0.2643300474625776,3692.0,0.49133425034387895,0.4538754764930114,0.47186261558784676,3935.0
