class,feature,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_min,mean_abs_shap_max,stability_cv
invol_churn,activity_days_total,0.0002604219403610174,0.0002368233722125737,0.0,0.00046288676414178227,0.909383333386851
invol_churn,attempt_active_days,0.0008364221697699436,0.0005287542648749426,0.00047625646655660145,0.001443461192774886,0.6321619440340462
invol_churn,attempt_amount_max,0.003059123332435323,0.0020118647652622172,0.001085031558094372,0.005106745046014803,0.6576605604392554
invol_churn,attempt_amount_mean,0.004834874713825948,0.0029949807364285856,0.002954277599290554,0.008288622192631375,0.6194536391737415
invol_churn,attempt_amount_std,0.001815952956594492,0.0006962418393240482,0.0010233702804223854,0.0023289157346272175,0.38340301536760635
invol_churn,attempt_amount_sum,0.0029834094938366667,0.0015066388108229164,0.0019202942198680783,0.004707569303370094,0.5050057036874874
invol_churn,attempt_count,0.00018443685742859607,0.0002116221779201619,0.0,0.0004154761433800919,1.1473963548857935
invol_churn,attempt_count_d1,0.0011609323454454307,0.0005831454666798405,0.000760970009256977,0.0018300416757003346,0.5023078812194669
invol_churn,attempt_count_d14,0.00042312052365556696,0.00042936319068606957,0.0,0.0008584653165890577,1.0147538743253786
invol_churn,attempt_count_d3,0.0009243254942022444,0.0003218603859467047,0.0006377482944181425,0.0012725512538889234,0.3482110879398518
invol_churn,attempt_count_d7,0.0006277068800680006,0.0006334180003383074,0.00018988040187606787,0.0013540147825159938,1.009098387243562
invol_churn,attempt_distinct_banks,0.002609893379844344,0.0012001723128285007,0.0012411933895206508,0.003482415723787976,0.4598549205485474
invol_churn,attempt_distinct_card_countries,0.0004790685496402756,0.0003952999416965701,0.00023846500894440356,0.0009352936684752871,0.8251427525213126
invol_churn,attempt_distinct_cards,0.0001569843733298555,0.00018719923310190497,5.001740063792677e-07,0.0003643700922513514,1.1924704932800034
invol_churn,attempt_distinct_failures,0.002265059151671331,0.0027395058935267675,0.0,0.0053099231177851074,1.2094632899566238
invol_churn,attempt_failure_count,0.0005637306070717621,0.000976410053229939,0.0,0.0016911918212152864,1.7320508075688772
invol_churn,attempt_failure_rate,0.0021670908773318703,0.001971954111789962,0.0,0.0038559386091076824,0.9099545074075706
invol_churn,attempt_failures_d1,0.0003377370716572252,0.0003294722179472852,0.0,0.0006582703536215339,0.9755287340255969
invol_churn,attempt_failures_d14,0.0011554596060547291,0.0006760354182660388,0.0006314398407399599,0.0019185446835878217,0.5850792314361684
invol_churn,attempt_failures_d3,0.00022238363476108345,0.0002914491966776933,2.0431955777605276e-05,0.0005564995046227451,1.310569444513352
invol_churn,attempt_failures_d7,0.0008322875597967634,0.0007557389758993793,0.0,0.0014756195063084269,0.908026278902839
invol_churn,attempt_first_day,1.1668102042547361e-05,1.5597191555158552e-05,0.0,2.9383395862949245e-05,1.3367376714982344
invol_churn,attempt_last_bank_country,0.01226812094533298,0.0016285902599066685,0.01077013112753761,0.014001659461187164,0.13274977212595987
invol_churn,attempt_last_bank_name,0.16413132568885266,0.010682962494610123,0.15364371137744587,0.17499946811217906,0.06508789501196163
invol_churn,attempt_last_billing_address_country,0.02003446838730874,0.0038412593519863737,0.015853786435213933,0.02340804637217187,0.1917325320406156
invol_churn,attempt_last_card_3d_secure_support,0.047084107856037755,0.0042340584639023295,0.04419721213050282,0.051944663542412645,0.08992542615118027
invol_churn,attempt_last_card_brand,0.020957059565161622,0.00344929390028082,0.0169743710075621,0.022984073163955558,0.16458863847554364
invol_churn,attempt_last_card_country,0.10232672754360612,0.006728826435945672,0.09525390936414802,0.10864855176493163,0.06575824906623941
invol_churn,attempt_last_card_funding,0.06458819994848869,0.015837474582757763,0.053113307214498494,0.08265734241606389,0.24520693556080977
invol_churn,attempt_last_cvc_check,0.046177903229235186,0.01384171134965616,0.035159282868704476,0.06171395151818144,0.2997475065280354
invol_churn,attempt_last_day,0.0033763134216311178,0.000811996451730787,0.0026278502728201676,0.0042396159763425055,0.2404979485993651
invol_churn,attempt_last_digital_wallet,0.008278213754138916,0.004243210521917547,0.003391282103850088,0.011027064283166417,0.512575616907215
invol_churn,attempt_last_failure_code,0.014777024672786724,0.0029437711386454263,0.013002822064749188,0.01817509040226962,0.1992127105307374
invol_churn,attempt_last_payment_method_type,0.0,0.0,0.0,0.0,
invol_churn,attempt_night_rate,0.0008045690234930042,0.0006968949017730081,0.0,0.0012196605233259399,0.8661716787796115
invol_churn,attempt_span_days,0.0019416047738227825,0.0016619614538363019,0.0009736379703402578,0.003860647782184809,0.8559730982552659
invol_churn,attempt_success_count,0.0009700010724583589,4.2927440239821815e-05,0.0009206006893959047,0.0009982320911597492,0.044255044101164785
invol_churn,attempt_success_rate,0.0005358559041866489,0.0009281296515870361,0.0,0.0016075677125599467,1.7320508075688774
invol_churn,attempt_unique_transactions,0.0001812012523535614,0.00013206419436374202,8.585627620962716e-05,0.00033194145154801674,0.7288260574825237
invol_churn,attempt_weekend_rate,0.0020979246569706616,0.00010918662333313948,0.001977744925515884,0.0021910197166148575,0.05204506414010196
invol_churn,attempts_per_purchase,0.0007594157861447702,0.0011101717828235756,0.0,0.002033521317403475,1.4618760935421737
invol_churn,country_code,0.1783382862472751,0.005789907464285649,0.17188971195648894,0.18309062629003445,0.03246586914184904
invol_churn,failure_authentication_required_count,7.709149063710226e-07,1.3352637861468152e-06,0.0,2.312744719113068e-06,1.7320508075688774
invol_churn,failure_card_declined_count,0.00031374619071010244,0.0003415133870573458,7.506494555200404e-05,0.0007049412613798814,1.0885020987327299
invol_churn,failure_do_not_honor_count,0.0,0.0,0.0,0.0,
invol_churn,failure_expired_card_count,2.2346439140508686e-06,2.5282176104389777e-06,0.0,4.97882149428948e-06,1.1313738151041395
invol_churn,failure_generic_decline_count,0.0,0.0,0.0,0.0,
invol_churn,failure_incorrect_cvc_count,0.0,0.0,0.0,0.0,
invol_churn,failure_insufficient_funds_count,0.0,0.0,0.0,0.0,
invol_churn,failure_processing_error_count,7.3394689463903505e-06,1.2712333115722103e-05,0.0,2.201840683917105e-05,1.7320508075688772
invol_churn,failures_per_purchase,0.0022022192973980828,0.0014498484129646294,0.0012320037933224524,0.0038688818840984743,0.6583578732043726
invol_churn,is_3d_secure_authenticated_rate,0.012695330773615324,0.0035346521666321604,0.009122425042067962,0.01619044522501222,0.2784214314429853
invol_churn,is_3d_secure_rate,0.016610440273981047,0.008404702960439256,0.007387343568593102,0.023837308344321965,0.5059891743871814
