experiment,fold,train_users,tuning_users,evaluation_users,evaluation_start,evaluation_end,seed_count,seeds,decision_adjusted,weighted_f1,macro_f1,accuracy,not_churned_precision,not_churned_recall,not_churned_f1,not_churned_support,vol_churn_precision,vol_churn_recall,vol_churn_f1,vol_churn_support,invol_churn_precision,invol_churn_recall,invol_churn_f1,invol_churn_support
single_seed,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,1,42,True,0.5324770638016497,0.49032647041896693,0.5484,0.5936640633593664,0.7190247801758594,0.6503584985238297,7506.0,0.47540160642570284,0.26934015927189986,0.3438634713144517,3516.0,0.4804697472555527,0.47310206133735544,0.47675744141861937,3978.0
three_seed_ensemble,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,3,"42,139,236",True,0.5279482976786066,0.48229204938466913,0.5454,0.5905436852126085,0.7438049560351718,0.658372641509434,7506.0,0.4194206446348429,0.2923777019340159,0.3445617563264622,3516.0,0.5072697899838449,0.39467068878833583,0.4439417503181111,3978.0
single_seed,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,1,42,True,0.5001677101157969,0.457401149335182,0.524,0.5667533593411357,0.7093449070934491,0.6300825251490874,7373.0,0.4128009395184968,0.19041170097508126,0.2606116774791474,3692.0,0.47358073236667486,0.489707750952986,0.4815092453773113,3935.0
three_seed_ensemble,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,3,"42,139,236",True,0.5034251405094786,0.4627052454084206,0.5236666666666666,0.5706026239715366,0.6960531669605317,0.6271155373617645,7373.0,0.4055907172995781,0.20828819068255688,0.27523264137437364,3692.0,0.4754257907542579,0.496569250317662,0.4857675574891237,3935.0
