experiment,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,not_churned_f1_mean,not_churned_f1_std,vol_churn_f1_mean,vol_churn_f1_std,invol_churn_f1_mean,invol_churn_f1_std
slower_regularized,0.5177513598417228,0.021376259213709038,0.47420118975043757,0.02263691855534113,0.6454407820801689,0.009970250482392681,0.3043824525492353,0.056642654479212455,0.47278033462190866,0.0012978507044182803
current,0.5163223869587232,0.02284616308702109,0.47386380987707444,0.02328171781108871,0.6402205118364586,0.014337278268438204,0.30223757439679955,0.058867907966888115,0.4791333433979653,0.003360032802060184
shallower_depth6,0.5151651095014529,0.02042551205453269,0.4714764863015112,0.01857388049455471,0.6436682850421164,0.020182880931690673,0.3048397270946525,0.059971498210724304,0.4659214467677646,0.024432737658750845
deeper_depth8,0.515119379012238,0.016401210362080212,0.47252157367221925,0.010645745056996808,0.6402866054608046,0.028299135712562814,0.31249046438745726,0.04075388805664092,0.46478765116839577,0.037115788598213316
