transition,feature,count,mean,median,std
invol_churn -> invol_churn,attempt_count,1827,1.3957307060755337,1.0,1.399203086345459
invol_churn -> invol_churn,purchase_count,1827,1.1340996168582376,1.0,0.5408532435281334
invol_churn -> invol_churn,attempt_failure_rate,1827,0.0660177488995223,0.0,0.18045041810110338
invol_churn -> invol_churn,attempt_failure_count,1827,0.2616310892172961,0.0,1.0203140259669852
invol_churn -> invol_churn,attempt_success_count,1827,1.1340996168582376,1.0,0.5408532435281334
invol_churn -> invol_churn,attempt_active_days,1827,1.0727969348659003,1.0,0.3882995814897608
invol_churn -> invol_churn,purchase_active_days,1827,1.0448823207443898,1.0,0.3245349269087355
invol_churn -> invol_churn,activity_days_total,1827,2.11767925561029,2.0,0.6893410667203388
invol_churn -> invol_churn,attempt_last_day,1827,0.3050169461675688,0.0,1.6316319647880986
invol_churn -> invol_churn,purchase_last_day,1827,0.1669224112590971,0.0,1.1816106670765651
invol_churn -> not_churned,attempt_count,1399,1.392423159399571,1.0,1.4451239323644332
invol_churn -> not_churned,purchase_count,1399,1.2180128663330951,1.0,0.6873608980195081
invol_churn -> not_churned,attempt_failure_rate,1399,0.030044028138255106,0.0,0.12581958721618244
invol_churn -> not_churned,attempt_failure_count,1399,0.17441029306647604,0.0,1.0033719574734945
invol_churn -> not_churned,attempt_success_count,1399,1.2180128663330951,1.0,0.6873608980195081
invol_churn -> not_churned,attempt_active_days,1399,1.1386704789135096,1.0,0.5369720697033253
invol_churn -> not_churned,purchase_active_days,1399,1.1179413867047892,1.0,0.46596590896940177
invol_churn -> not_churned,activity_days_total,1401,2.253390435403283,2.0,0.991768404500565
invol_churn -> not_churned,attempt_last_day,1399,0.7065254447621317,0.0,2.5756521962912196
invol_churn -> not_churned,purchase_last_day,1399,0.6151311783549096,0.0,2.35672372164454
invol_churn -> vol_churn,attempt_count,337,1.3768545994065282,1.0,1.1991309674134984
invol_churn -> vol_churn,purchase_count,337,1.2195845697329377,1.0,0.4145807615609247
invol_churn -> vol_churn,attempt_failure_rate,337,0.02874985800452723,0.0,0.1238279697055527
invol_churn -> vol_churn,attempt_failure_count,337,0.1572700296735905,0.0,1.021589401880046
invol_churn -> vol_churn,attempt_success_count,337,1.2195845697329377,1.0,0.4145807615609247
invol_churn -> vol_churn,attempt_active_days,337,1.0415430267062316,1.0,0.21421505122879356
invol_churn -> vol_churn,purchase_active_days,337,1.029673590504451,1.0,0.16993752436518403
invol_churn -> vol_churn,activity_days_total,337,2.0712166172106823,2.0,0.37117413922282955
invol_churn -> vol_churn,attempt_last_day,337,0.047658327838223984,0.0,0.32212423008661417
invol_churn -> vol_churn,purchase_last_day,337,0.04220601164963183,0.0,0.3154658837720855
not_churned -> invol_churn,attempt_count,1497,1.4482297929191716,1.0,1.6352234570989213
not_churned -> invol_churn,purchase_count,1497,1.1583166332665331,1.0,0.4735510957838333
not_churned -> invol_churn,attempt_failure_rate,1497,0.06141539656068714,0.0,0.17243871069740052
not_churned -> invol_churn,attempt_failure_count,1497,0.2899131596526386,0.0,1.3404887988067788
not_churned -> invol_churn,attempt_success_count,1497,1.1583166332665331,1.0,0.4735510957838333
not_churned -> invol_churn,attempt_active_days,1497,1.1022044088176353,1.0,0.40663179340572575
not_churned -> invol_churn,purchase_active_days,1497,1.083500334001336,1.0,0.34354480579607166
not_churned -> invol_churn,activity_days_total,1497,2.185704742818971,2.0,0.7341798880057187
not_churned -> invol_churn,attempt_last_day,1497,0.47846674831143765,0.0,2.0391040281254704
not_churned -> invol_churn,purchase_last_day,1497,0.38908523064647815,0.0,1.7918603229441552
not_churned -> not_churned,attempt_count,5282,1.4276789095039757,1.0,1.5933297659689325
not_churned -> not_churned,purchase_count,5284,1.315669947009841,1.0,1.1291285972186238
not_churned -> not_churned,attempt_failure_rate,5282,0.018412178349661298,0.0,0.09800961529054703
not_churned -> not_churned,attempt_failure_count,5282,0.11188943581976524,0.0,0.7687409005199802
not_churned -> not_churned,attempt_success_count,5282,1.3157894736842106,1.0,1.1293256721397837
not_churned -> not_churned,attempt_active_days,5282,1.220560393790231,1.0,0.7179426229005957
not_churned -> not_churned,purchase_active_days,5284,1.2077971233913702,1.0,0.69554690194853
not_churned -> not_churned,activity_days_total,5294,2.4233094068757084,2.0,1.4106262950689614
not_churned -> not_churned,attempt_last_day,5282,1.0370919908809795,0.0,3.0041731584399898
not_churned -> not_churned,purchase_last_day,5284,1.000233763878375,0.0,2.953628490766738
not_churned -> vol_churn,attempt_count,835,1.3760479041916167,1.0,1.070601792984341
not_churned -> vol_churn,purchase_count,836,1.257177033492823,1.0,0.4534722166311174
not_churned -> vol_churn,attempt_failure_rate,835,0.022241598615692533,0.0,0.11377647443704386
not_churned -> vol_churn,attempt_failure_count,835,0.11976047904191617,0.0,0.8909510129905746
not_churned -> vol_churn,attempt_success_count,835,1.2562874251497007,1.0,0.4530134791060366
not_churned -> vol_churn,attempt_active_days,835,1.0275449101796408,1.0,0.17780458066067584
not_churned -> vol_churn,purchase_active_days,836,1.0263157894736843,1.0,0.1674788488981169
not_churned -> vol_churn,activity_days_total,836,2.0526315789473686,2.0,0.3349576977962338
not_churned -> vol_churn,attempt_last_day,835,0.04583932135728543,0.0,0.44214482493902035
not_churned -> vol_churn,purchase_last_day,836,0.03383182150451887,0.0,0.2629309696779829
vol_churn -> invol_churn,attempt_count,698,1.4398280802292263,1.0,1.3434429629840752
vol_churn -> invol_churn,purchase_count,698,1.180515759312321,1.0,0.4469809684107876
vol_churn -> invol_churn,attempt_failure_rate,698,0.055344985323495355,0.0,0.1675592418590474
vol_churn -> invol_churn,attempt_failure_count,698,0.2593123209169054,0.0,1.1172730624171188
vol_churn -> invol_churn,attempt_success_count,698,1.180515759312321,1.0,0.4469809684107876
vol_churn -> invol_churn,attempt_active_days,698,1.0716332378223496,1.0,0.3680542075914904
vol_churn -> invol_churn,purchase_active_days,698,1.0501432664756447,1.0,0.27114980658084015
vol_churn -> invol_churn,activity_days_total,698,2.121776504297994,2.0,0.6091707055852951
vol_churn -> invol_churn,attempt_last_day,698,0.27024176217765045,0.0,1.533044831396872
vol_churn -> invol_churn,purchase_last_day,698,0.190008075321023,0.0,1.2189576126127613
vol_churn -> not_churned,attempt_count,2357,1.3478998727195588,1.0,1.2165249613063056
vol_churn -> not_churned,purchase_count,2357,1.257955027577429,1.0,0.9067665232506095
vol_churn -> not_churned,attempt_failure_rate,2357,0.016229855681489113,0.0,0.09369348293173509
vol_churn -> not_churned,attempt_failure_count,2357,0.08994484514212983,0.0,0.6760929944869578
vol_churn -> not_churned,attempt_success_count,2357,1.257955027577429,1.0,0.9067665232506095
vol_churn -> not_churned,attempt_active_days,2357,1.1463725074246924,1.0,0.5636489341262257
vol_churn -> not_churned,purchase_active_days,2357,1.1421298260500636,1.0,0.5571675686960195
vol_churn -> not_churned,activity_days_total,2363,2.2826914938637324,2.0,1.123070757510648
vol_churn -> not_churned,attempt_last_day,2357,0.6171309701990917,0.0,2.2553516692850666
vol_churn -> not_churned,purchase_last_day,2357,0.5982544557975455,0.0,2.21668082893157
vol_churn -> vol_churn,attempt_count,747,1.3775100401606426,1.0,0.9889077630937594
vol_churn -> vol_churn,purchase_count,747,1.2771084337349397,1.0,0.4907161618462768
vol_churn -> vol_churn,attempt_failure_rate,747,0.01849714450706655,0.0,0.10136028977484349
vol_churn -> vol_churn,attempt_failure_count,747,0.10040160642570281,0.0,0.8033691450810103
vol_churn -> vol_churn,attempt_success_count,747,1.2771084337349397,1.0,0.4907161618462768
vol_churn -> vol_churn,attempt_active_days,747,1.036144578313253,1.0,0.20719011352899638
vol_churn -> vol_churn,purchase_active_days,747,1.033467202141901,1.0,0.20108059268352513
vol_churn -> vol_churn,activity_days_total,747,2.069611780455154,2.0,0.40502902192433227
