fold,feature,weighted_f1_drop,macro_f1_drop,not_churned_f1_drop,vol_churn_f1_drop,invol_churn_f1_drop,evaluation_users
fold_1,subscription_plan,-0.0023267932649919665,-0.002457729976397316,-0.0023545979671771855,-0.00592136838018964,0.0009027764181747666,15000
fold_1,country_code,0.017620422013304604,0.014860946922680474,0.02310577659970281,-0.01177188264188378,0.03324894681022228,15000
fold_1,signup_weekday,-0.00177102295076359,-0.0023067273111608833,-0.0006119164637481411,-0.006757534099661677,0.0004492686299270021,15000
fold_1,signup_hour,0.0030879723123520275,0.0038505707986445925,0.000787543244062272,0.005219869677046407,0.005544299474824987,15000
fold_1,signup_is_weekend,0.00019419850003798977,0.0003161658482349061,-0.0001577699182049308,0.0006569988329825915,0.0004492686299270021,15000
fold_1,quiz_rows,0.0,0.0,0.0,0.0,0.0,15000
fold_1,quiz_missing_answers,0.0004054027860190823,0.0004891694113333678,0.0001576931211653143,0.0006775915498625773,0.0006322235629722117,15000
fold_1,quiz_answered,0.0005174830811469633,0.0006073776915195839,0.00020748241027868097,0.0004722880884267533,0.0011423625758532063,15000
fold_1,quiz_source,0.0005907715927757629,0.0008486114758611274,-0.00035003111633868933,6.676554728729522e-05,0.0028290999966346098,15000
fold_1,quiz_flow_type,-8.707268987295791e-05,-0.00010890629411453023,-3.94352776377227e-05,-0.0002872836047058125,0.0,15000
fold_1,quiz_team_size,0.001571496427860808,0.0014034763014593166,0.0023148658955632895,0.0029079797472934543,-0.0010124167384788496,15000
fold_1,quiz_experience,0.0006487128277337106,0.0006592168868834181,0.0008520479581278773,0.002472785948777645,-0.0013471832462553235,15000
fold_1,quiz_usage_plan,0.0023971199252122988,0.002330455358445893,0.0027485252884860145,0.003358555383737638,0.0008842854031138603,15000
fold_1,quiz_frustration,0.0007941088072757063,0.000231251596647164,0.002377541614153489,-0.0016534821212468853,-3.0304702965167074e-05,15000
fold_1,quiz_first_feature,0.0019644970237505666,0.0012807556202480974,0.003519381059020832,-0.0038236827012807506,0.0041465685030041555,15000
fold_1,quiz_role,0.0010701060078422975,0.001058906732757492,0.0011208803264262102,0.001168546802433501,0.000887293069412709,15000
fold_1,quiz_cost_concern,0.0015773522549952235,0.0017528791594118576,0.0010778387387174737,0.002296950505816242,0.001883848233701746,15000
fold_1,attempt_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,attempt_unique_transactions,-5.549246210545533e-06,6.228556452936296e-06,-8.228325148562643e-05,-0.0002872836047058125,0.00038825252554997025,15000
fold_1,attempt_active_days,0.00012181851378489927,8.114742458359414e-05,0.00024344227375083793,0.0,0.0,15000
fold_1,attempt_success_count,0.0002098781373554015,0.00023964319077873775,3.6001609148184066e-05,-0.0003490401396160636,0.0010319681028040928,15000
fold_1,attempt_failure_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,attempt_failure_rate,0.0,0.0,0.0,0.0,0.0,15000
fold_1,attempt_amount_sum,0.0004979622506036119,0.0006780230566590939,-0.00028626281122279273,-0.000839484413159175,0.003159816394359083,15000
fold_1,attempt_amount_mean,-1.1853110792658939e-05,-1.1515102427639423e-05,-3.601914204365286e-05,-0.00018766256193020192,0.00018913639669076998,15000
fold_1,attempt_amount_std,0.0017014365210229476,0.002047136640422831,0.0002538488305754427,-0.0004230313295866539,0.006310592420279759,15000
fold_1,attempt_amount_max,0.0008901332981835486,0.0010677653839498702,0.00019710440848985655,0.00018635708323849753,0.0028198346601213675,15000
fold_1,attempt_first_day,-5.73691465113324e-05,-4.7782963501608045e-05,-8.228325148562643e-05,0.0,-6.10656390191977e-05,15000
fold_1,attempt_last_day,0.002012345165044893,0.0022349777790334757,0.0014275053781062086,0.0032971565222286725,0.001980271436765435,15000
fold_1,attempt_night_rate,0.00047399918087076554,0.0005016514365944191,0.0003292331864399589,8.280349137484988e-05,0.001092917631968171,15000
fold_1,attempt_weekend_rate,-0.00024094762103887835,-0.0003318981178337399,4.972460009111668e-05,-0.0003706264794874903,-0.0006747924741048461,15000
fold_1,attempt_distinct_failures,6.723134065789171e-05,4.804705512084784e-05,4.2860598747584966e-05,-0.0006144250252714811,0.0007157055918863842,15000
fold_1,attempt_distinct_cards,-0.00017412428610219521,-0.00021778077561862563,-7.887535596662332e-05,-0.0005744669708893646,0.0,15000
fold_1,attempt_distinct_banks,0.0006665486934188669,0.0007533382511836217,0.00023997595440938824,-0.0003490401396160636,0.002369078938757374,15000
fold_1,attempt_distinct_card_countries,-2.7883652316318397e-05,-6.810699636572437e-05,8.229326770614609e-05,-0.00022554861778401047,-6.10656390191977e-05,15000
fold_1,attempt_count_d1,-0.00016749753153599833,-0.00013214818353501911,-0.000536323809678052,-0.0020708741337889802,0.0022107533928620304,15000
fold_1,attempt_failures_d1,0.0,0.0,0.0,0.0,0.0,15000
fold_1,attempt_count_d3,0.0006732471134762719,0.0007915675414218448,0.0002655040910443107,0.0006159280744334472,0.001493270458787721,15000
fold_1,attempt_failures_d3,0.00027829116422894984,0.0002749053873695728,0.0002828579364403394,0.00022570612380201638,0.0003161521018664182,15000
fold_1,attempt_count_d7,0.0007513326399720688,0.0008647264883216987,0.00015424329487256916,-0.0008791630814702356,0.003319099251562818,15000
fold_1,attempt_failures_d7,0.0,0.0,0.0,0.0,0.0,15000
fold_1,attempt_count_d14,0.0001324585773524456,0.00019315192608793108,-6.842509610804903e-06,0.0006364849604763023,-5.0186672601759685e-05,15000
fold_1,attempt_failures_d14,0.0002744084792943857,0.00028083678081947117,0.00020056247935107407,-0.00012345588737117108,0.0007654037504783995,15000
fold_1,failure_card_declined_count,-5.394994393181918e-05,-0.0001084030038576711,7.54203004343923e-05,-0.00047261789854435854,7.198858653684193e-05,15000
fold_1,failure_insufficient_funds_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,failure_incorrect_cvc_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,failure_expired_card_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,failure_authentication_required_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,failure_do_not_honor_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,failure_processing_error_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,failure_generic_decline_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,is_3d_secure_rate,0.002952313566512932,0.002885153491081205,0.0030555265411802424,0.0020056621258708884,0.003594271806192373,15000
fold_1,is_3d_secure_authenticated_rate,0.001997117487790301,0.002277984656559373,0.0010918683725668066,0.002339433318054418,0.0034026522790567837,15000
fold_1,is_prepaid_rate,0.000297198995695247,0.00047467935396355854,-0.0002963667602806641,0.0003490401396160636,0.001371364682555276,15000
fold_1,is_virtual_rate,0.00048607329155359036,0.0007832570598706456,-0.0003919709098688662,0.001457612573971534,0.0012841295155091026,15000
fold_1,is_business_rate,0.003708766548131903,0.0038673420571537775,0.002923722183040045,0.0018100730516455998,0.006868230936775688,15000
fold_1,attempt_last_billing_address_country,0.03251601787671765,0.01676160092344081,0.07706304372180306,-0.03426169800844503,0.007483457056964349,15000
fold_1,attempt_last_card_3d_secure_support,0.011134106690921852,0.008239706745120035,0.01783622735882162,-0.012451796419139127,0.01933468929567761,15000
fold_1,attempt_last_card_brand,0.000944691215792548,0.001307636074264651,0.0001715050299760934,0.00441565025788021,-0.0006642470650624621,15000
fold_1,attempt_last_card_country,0.04919311371832874,0.03464458414054067,0.08903343176795575,-0.022377254035435112,0.03727757468910148,15000
fold_1,attempt_last_card_funding,0.014500324713635715,0.01784696912939676,0.005226081715657527,0.030126569650485824,0.018188256022046934,15000
fold_1,attempt_last_cvc_check,0.004117508401030201,0.004933925154687824,0.0010304984547008234,0.0016329769021103946,0.012138300107252253,15000
fold_1,attempt_last_digital_wallet,0.0008953639498640031,0.0009396475119901604,0.000676750865312381,0.0003698511102835367,0.0017723405603743414,15000
fold_1,attempt_last_payment_method_type,0.0,0.0,0.0,0.0,0.0,15000
fold_1,attempt_last_bank_name,0.0176012535177561,0.023285800754289654,-0.002890726533174348,0.007955541615396355,0.0647925871806469,15000
fold_1,attempt_last_bank_country,0.0007476625293759698,0.00012263309954041457,0.0026378997680566174,-0.0009630392835946466,-0.0013069611858407826,15000
fold_1,attempt_last_failure_code,-0.0015161751908061571,-0.0013528738582151978,-0.002114805018120114,-0.0018692659432371084,-7.45506132884266e-05,15000
fold_1,attempt_span_days,-6.88773718238167e-06,1.7162652456437222e-05,-0.00013870703065688161,-0.000392258121226452,0.0005824531092525342,15000
fold_1,attempt_success_rate,0.0,0.0,0.0,0.0,0.0,15000
fold_1,purchase_count,0.0,0.0,0.0,0.0,0.0,15000
fold_1,purchase_unique_transactions,0.0,0.0,0.0,0.0,0.0,15000
fold_1,purchase_active_days,0.00012684642940008484,0.00012583942111960011,0.00012172113687536346,6.16956310296457e-05,0.0001941014954539022,15000
fold_1,purchase_amount_sum,-0.0002210903021605537,-0.0003101001695559047,0.00014931927359607133,0.0003082630003757858,-0.0013878827826396822,15000
fold_1,purchase_amount_mean,0.0008141979875568861,0.0012796322670191596,-0.0004246919140933336,0.0033762956457379922,0.000887293069412709,15000
fold_1,purchase_amount_std,0.0015624293657087174,0.0016805981436719963,0.0007768411020370181,-0.0013841706300041223,0.005649123958983149,15000
fold_1,purchase_amount_max,-0.00016260790789957014,9.292323669607416e-05,-0.0009764516748519414,0.00022325328213584905,0.0010319681028040928,15000
fold_1,purchase_first_day,0.0,0.0,0.0,0.0,0.0,15000
fold_1,purchase_last_day,0.0011402751069322647,0.0012903042761319705,0.0006126576332902145,0.00098662501649871,0.0022716301786069315,15000
fold_1,purchase_type_nunique,0.00014799934640497003,0.00014950936761659595,0.00016114420713164712,0.0002873838957180852,0.0,15000
fold_1,purchase_last_type,-0.0004306770686618444,-0.0003373431948535677,-0.001604281920535855,-0.006981827430962706,0.007574079766937858,15000
fold_1,purchase_count_d1,-0.00022247759545113155,-0.0002722213591362377,-7.887535596662332e-05,-0.00041081823379840454,-0.0003269704876437407,15000
fold_1,purchase_spend_d1,-0.00030584098413721783,-0.00013182083726387406,-0.000900918152376029,-0.0003549228385983372,0.0008603784791827995,15000
fold_1,purchase_count_d3,0.0,0.0,0.0,0.0,0.0,15000
fold_1,purchase_spend_d3,0.00037703098643682154,0.0005320310967810715,-0.0002704273061009399,-0.0005633619556068004,0.002429882552051066,15000
fold_1,purchase_count_d7,-0.0007487284680249839,-0.000995751696646785,-0.00022992017413081545,-0.003167818402036948,0.00041048348622751973,15000
fold_1,purchase_spend_d7,0.0005228433470916283,0.0009072861085912542,-0.0006383592470001753,0.001586083961333029,0.001774133611440798,15000
fold_1,purchase_count_d14,0.0001966341630481594,0.0002785832926917031,-6.842509610804903e-06,0.0007596541025006176,8.293828518551871e-05,15000
fold_1,purchase_spend_d14,0.0009080867513410196,0.0011575770599965285,5.825981592344487e-05,0.0008631255291381423,0.0025513458349279428,15000
fold_1,purchase_span_days,-5.73691465113324e-05,-4.7782963501608045e-05,-8.228325148562643e-05,0.0,-6.10656390191977e-05,15000
fold_1,attempts_per_purchase,0.0,0.0,0.0,0.0,0.0,15000
fold_1,failures_per_purchase,0.0010406370312381341,0.0010603642078598763,0.0009021876092856207,0.0004929629298446314,0.0017859420844495433,15000
fold_1,spend_per_attempt,0.0010318123934769385,0.001469395353652314,-0.0006449578970846304,-0.00046933595796938565,0.005522479916010958,15000
fold_1,purchase_attempt_gap,5.8899312735061216e-05,3.959779996554058e-05,7.885615670755186e-05,-0.0002872836047058125,0.00032722084789466033,15000
fold_1,activity_days_total,0.000198062586937775,0.00020369745457043953,0.00016114420713164712,6.16956310296457e-05,0.00038825252554997025,15000
fold_2,subscription_plan,0.0004832050070704419,0.0015084768027087692,-0.002499168812535202,0.008096095359778399,-0.0010714961391168343,15000
fold_2,country_code,0.028204943907877422,0.018811717679421747,0.05576434385305662,-0.038205832287154684,0.03887664147236314,15000
fold_2,signup_weekday,-0.0009291645319386976,-0.0010479541133412429,-0.0004872086422277322,-0.0004471343246572612,-0.0022095193731387908,15000
fold_2,signup_hour,0.0009613147755999085,0.0011016072827980117,0.0007156541712683984,0.004301116791164683,-0.0017119491140390464,15000
fold_2,signup_is_weekend,0.0007609589359930391,0.0006464174324036787,0.0011395952646962026,0.0005535072825418874,0.0002461497499729459,15000
fold_2,quiz_rows,0.0,0.0,0.0,0.0,0.0,15000
fold_2,quiz_missing_answers,-0.0008626484605559481,-0.001142249965990827,-7.189489430281526e-05,-0.0032580600279640826,-9.679497570563855e-05,15000
fold_2,quiz_answered,0.0,0.0,0.0,0.0,0.0,15000
fold_2,quiz_source,0.0011598867719567751,0.0011041061961489795,0.0017228405677115477,0.006414806329137768,-0.004825328308402377,15000
fold_2,quiz_flow_type,0.0,0.0,0.0,0.0,0.0,15000
fold_2,quiz_team_size,0.004963803220393026,0.005572619094203979,0.003335600780603021,0.011504179361714384,0.0018780771402943652,15000
fold_2,quiz_experience,0.001457326760252009,0.0011859140908233035,0.0023247566280819587,0.0005445585421243737,0.0006884271022635224,15000
fold_2,quiz_usage_plan,-0.0003111180633956767,-0.0004148414102636555,0.00017666796570725563,0.0015512451394012472,-0.0029724373358994693,15000
fold_2,quiz_frustration,-0.0010954639029314706,-0.0019425407917184612,0.0016914007417550003,-0.002817694453126296,-0.004701328663784143,15000
fold_2,quiz_first_feature,0.0007097197433345581,0.00111419019449005,-0.00029073887929931264,0.006204357320603315,-0.0025710478578337415,15000
fold_2,quiz_role,0.000344435275584809,0.00016655041688712346,0.0008981962311799263,-0.0004625630437065098,6.401806318795389e-05,15000
fold_2,quiz_cost_concern,0.0014926338002024808,0.0014801391355427351,0.001570351849727536,0.00198520638439742,0.000884859172503305,15000
fold_2,attempt_count,0.0,0.0,0.0,0.0,0.0,15000
fold_2,attempt_unique_transactions,0.0002583313384700858,0.00030758049447937585,0.00011422276452033309,0.0006119980440335016,0.0001965206748841819,15000
fold_2,attempt_active_days,0.00016599209477385912,0.00019542637804409457,3.9726790706851034e-05,-0.00019050338414161594,0.0007370557275671041,15000
fold_2,attempt_success_count,-0.0002374287186447388,-0.00022985988464679918,-0.0002466360795285727,0.0,-0.00044294357441171384,15000
fold_2,attempt_failure_count,-6.889154141920262e-05,-0.00010564125369277866,0.00012639540908021552,0.0009087470693980304,-0.0013520662395564154,15000
fold_2,attempt_failure_rate,0.0001680642793226994,0.00020100953376284147,0.0001644735127871444,0.001717750177746169,-0.001279195089244789,15000
fold_2,attempt_amount_sum,0.00039206601163421784,0.0005073101399593605,0.00015228786029020114,0.0025982374131135466,-0.0012285948535256663,15000
fold_2,attempt_amount_mean,8.724655462921671e-05,2.84788713852957e-05,0.00019034837790199433,-0.0013090021378933114,0.0012040903741469822,15000
fold_2,attempt_amount_std,0.0007103386293484393,0.0006512237916418973,0.0009050943846693471,0.0005939584962988409,0.0004546184939576148,15000
fold_2,attempt_amount_max,0.0004700408526954192,0.00038624726342501026,0.0007280439260166638,4.9593300191497214e-05,0.00038110456406670323,15000
fold_2,attempt_first_day,0.0,0.0,0.0,0.0,0.0,15000
fold_2,attempt_last_day,0.000841761647041861,0.0010350668062513724,0.00021908550805505023,0.0014228597484080563,0.0014632551622910661,15000
fold_2,attempt_night_rate,0.0,0.0,0.0,0.0,0.0,15000
fold_2,attempt_weekend_rate,0.00032930453864266074,0.00031329410595604124,0.00045664388210597817,0.001353129661951058,-0.000869891226188857,15000
fold_2,attempt_distinct_failures,0.0,0.0,0.0,0.0,0.0,15000
fold_2,attempt_distinct_cards,0.0,0.0,0.0,0.0,0.0,15000
fold_2,attempt_distinct_banks,0.00038540977597723014,0.0002837456083453205,0.0006705087963175815,-0.0005198374131709649,0.0007005654418892893,15000
fold_2,attempt_distinct_card_countries,9.873423852180263e-05,9.170748257508743e-05,0.00012639540908021552,0.00014872703864510228,0.0,15000
fold_2,attempt_count_d1,0.0007670425353950572,0.001020089444045913,4.5792368177699494e-05,0.002855769620707549,0.00015870634325249044,15000
fold_2,attempt_failures_d1,-0.00026562185968814767,-0.00037302646271686335,8.223180922661832e-05,-0.0005618787527921221,-0.0006394324445850863,15000
fold_2,attempt_count_d3,0.00014367190176434175,0.0001724903971186964,8.83127231706693e-05,0.0007604516616629975,-0.0003312931934776331,15000
fold_2,attempt_failures_d3,0.0,0.0,0.0,0.0,0.0,15000
