experiment,fold,train_users,tuning_users,evaluation_users,evaluation_start,evaluation_end,observation_days,feature_count,best_iteration,decision_adjusted,weighted_f1,macro_f1,accuracy,not_churned_precision,not_churned_recall,not_churned_f1,not_churned_support,vol_churn_precision,vol_churn_recall,vol_churn_f1,vol_churn_support,invol_churn_precision,invol_churn_recall,invol_churn_f1,invol_churn_support
1_days,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,1,82,291,True,0.5244945919400889,0.48496461584111555,0.5346,0.5925201380897583,0.6859845456967759,0.6358360088910843,7506.0,0.41510157148332694,0.30802047781569963,0.3536326530612245,3516.0,0.4828424750067549,0.4492207139265963,0.4654251855710379,3978.0
1_days,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,1,82,287,True,0.48902631873802543,0.43817611933451245,0.529,0.5580629056415377,0.7580360775803607,0.6428571428571429,7373.0,0.46068548387096775,0.12378114842903576,0.19513236549957302,3692.0,0.4730778863010268,0.48005082592121984,0.4765388496468214,3935.0
3_days,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,3,86,285,True,0.5187103508282077,0.47285333845892447,0.5362666666666667,0.5829568141220973,0.7391420197175593,0.6518240028197145,7506.0,0.4026548672566372,0.310580204778157,0.35067437379576105,3516.0,0.506676290147961,0.35294117647058826,0.416061638761298,3978.0
3_days,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,3,86,117,True,0.4972429039426594,0.45533177145958037,0.5196666666666667,0.5596438532503755,0.7075817170758172,0.6249775381850854,7373.0,0.4017278617710583,0.20151679306608883,0.2683982683982684,3692.0,0.4793518034500784,0.4660736975857687,0.4726195077953872,3935.0
7_days,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,7,90,300,True,0.5286324480144573,0.4880701190292796,0.5407333333333333,0.5983191342390053,0.6923794297895017,0.6419219367588933,7506.0,0.44573991031390137,0.282707622298066,0.3459798120431605,3516.0,0.4701273261508325,0.48265460030165913,0.47630860828578514,3978.0
7_days,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,7,90,93,True,0.48798581026102633,0.4365407596412209,0.5304,0.5538175774758041,0.7683439576834395,0.643676854902852,7373.0,0.48726467331118495,0.11917659804983749,0.191512513601741,3692.0,0.4785418821096174,0.4703939008894536,0.4744329104190696,3935.0
14_days,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,14,94,300,True,0.5324770638016497,0.49032647041896693,0.5484,0.5936640633593664,0.7190247801758594,0.6503584985238297,7506.0,0.47540160642570284,0.26934015927189986,0.3438634713144517,3516.0,0.4804697472555527,0.47310206133735544,0.47675744141861937,3978.0
14_days,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,14,94,158,True,0.5001677101157969,0.457401149335182,0.524,0.5667533593411357,0.7093449070934491,0.6300825251490874,7373.0,0.4128009395184968,0.19041170097508126,0.2606116774791474,3692.0,0.47358073236667486,0.489707750952986,0.4815092453773113,3935.0
