model,fold,train_users,evaluation_users,train_start,train_end,evaluation_start,evaluation_end,weighted_f1,macro_f1,accuracy,not_churned_precision,not_churned_recall,not_churned_f1,not_churned_support,vol_churn_precision,vol_churn_recall,vol_churn_f1,vol_churn_support,invol_churn_precision,invol_churn_recall,invol_churn_f1,invol_churn_support
dummy_most_frequent,fold_1,30000,15000,1067-08-26 00:00:07+00:00,1067-09-25 23:59:44+00:00,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,0.3337778725673154,0.2223407091442282,0.5004,0.5004,1.0,0.6670221274326846,7506.0,0.0,0.0,0.0,3516.0,0.0,0.0,0.0,3978.0
dummy_stratified,fold_1,30000,15000,1067-08-26 00:00:07+00:00,1067-09-25 23:59:44+00:00,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,0.3783318301201252,0.3384340713477343,0.3779333333333333,0.4983259675907325,0.4957367439381828,0.4970279837040005,7506.0,0.2445437812253484,0.2645051194539249,0.2541330782893838,3516.0,0.2729222520107238,0.2559074912016088,0.2641411520498183,3978.0
hist_gradient_boosting,fold_1,30000,15000,1067-08-26 00:00:07+00:00,1067-09-25 23:59:44+00:00,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,0.5126260372907444,0.4537813117337324,0.5554666666666667,0.5734875608188745,0.832267519317879,0.6790586444915484,7506.0,0.6375545851528385,0.1660978384527872,0.2635379061371841,3516.0,0.4703854591037292,0.3773252890899949,0.4187473845724648,3978.0
simple_catboost,fold_1,30000,15000,1067-08-26 00:00:07+00:00,1067-09-25 23:59:44+00:00,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,0.4543597488858082,0.382078008980568,0.5163333333333333,0.5411764705882353,0.8395949906741274,0.6581379562424938,7506.0,0.4193103448275862,0.08646188850967,0.1433624145248762,3516.0,0.4330798479087452,0.2863247863247863,0.3447336561743341,3978.0
dummy_most_frequent,fold_2,45000,15000,1067-08-26 00:00:07+00:00,1067-10-14 06:30:52+00:00,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,0.3239686467319239,0.2196993399782476,0.4915333333333333,0.4915333333333333,1.0,0.6590980199347428,7373.0,0.0,0.0,0.0,3692.0,0.0,0.0,0.0,3935.0
dummy_stratified,fold_2,45000,15000,1067-08-26 00:00:07+00:00,1067-10-14 06:30:52+00:00,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,0.3793536573970865,0.3419954456843948,0.3801333333333333,0.4961188436830835,0.5027804150278041,0.4994274166385988,7373.0,0.2568925534656016,0.2700433369447454,0.2633038425987059,3692.0,0.2736495749931451,0.2536213468869123,0.2632550778158797,3935.0
hist_gradient_boosting,fold_2,45000,15000,1067-08-26 00:00:07+00:00,1067-10-14 06:30:52+00:00,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,0.4779380005535663,0.4195998515077797,0.5318,0.5453485242666188,0.8244947782449478,0.6564794816414686,7373.0,0.4986807387862796,0.1023835319609967,0.1698876404494382,3692.0,0.4911147011308562,0.386277001270648,0.4324324324324324,3935.0
simple_catboost,fold_2,45000,15000,1067-08-26 00:00:07+00:00,1067-10-14 06:30:52+00:00,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,0.4191543334000132,0.3435691316837995,0.5095333333333333,0.5157468277021862,0.9150956191509562,0.6596920068442923,7373.0,0.4324324324324324,0.0910075839653304,0.1503692101141195,3692.0,0.4907975460122699,0.1423125794155019,0.2206461780929866,3935.0
dummy_most_frequent,fold_3,60000,15000,1067-08-26 00:00:07+00:00,1067-10-26 23:56:19+00:00,1067-11-03 13:40:28+00:00,1067-11-09 23:59:45+00:00,0.3427829819831764,0.2247167837833856,0.5084666666666666,0.5084666666666666,1.0,0.6741503513501569,7627.0,0.0,0.0,0.0,3808.0,0.0,0.0,0.0,3565.0
dummy_stratified,fold_3,60000,15000,1067-08-26 00:00:07+00:00,1067-10-26 23:56:19+00:00,1067-11-03 13:40:28+00:00,1067-11-09 23:59:45+00:00,0.3778151519388747,0.3324186428893199,0.3764,0.5102450783447168,0.4995411039727284,0.5048363588180734,7627.0,0.2526952405995267,0.2523634453781512,0.2525292340034161,3808.0,0.2345844504021447,0.2454417952314165,0.2398903358464701,3565.0
hist_gradient_boosting,fold_3,60000,15000,1067-08-26 00:00:07+00:00,1067-10-26 23:56:19+00:00,1067-11-03 13:40:28+00:00,1067-11-09 23:59:45+00:00,0.4563438062243485,0.3817039587193367,0.5376,0.5449424639896998,0.8878982561950963,0.6753764834945647,7627.0,0.4587912087912087,0.0438550420168067,0.0800575263662512,3808.0,0.5092802172928927,0.3155680224403927,0.3896778662971943,3565.0
simple_catboost,fold_3,60000,15000,1067-08-26 00:00:07+00:00,1067-10-26 23:56:19+00:00,1067-11-03 13:40:28+00:00,1067-11-09 23:59:45+00:00,0.4323816612566547,0.3522445266024943,0.5158666666666667,0.5307535000786534,0.8847515405795201,0.663487537485866,7627.0,0.3441033925686591,0.0559348739495798,0.0962276936977637,3808.0,0.4661067786442711,0.2179523141654979,0.2970183486238532,3565.0
