fold,class,feature,mean_abs_shap,sample_users
fold_1,not_churned,quiz_rows,0.0,1500
fold_1,not_churned,quiz_missing_answers,0.005817289674481076,1500
fold_1,not_churned,quiz_answered,0.005056092804721072,1500
fold_1,not_churned,quiz_source,0.030557196399563367,1500
fold_1,not_churned,quiz_flow_type,0.0024487699498541853,1500
fold_1,not_churned,quiz_team_size,0.05175225089981033,1500
fold_1,not_churned,quiz_experience,0.0076989494645436085,1500
fold_1,not_churned,quiz_usage_plan,0.008614178384565173,1500
fold_1,not_churned,quiz_frustration,0.03399264088502108,1500
fold_1,not_churned,quiz_first_feature,0.00806755089778167,1500
fold_1,not_churned,quiz_role,0.01234387367869007,1500
fold_1,not_churned,quiz_cost_concern,0.002574557832076007,1500
fold_1,not_churned,attempt_count,0.0,1500
fold_1,not_churned,attempt_unique_transactions,0.0003750133907388566,1500
fold_1,not_churned,attempt_active_days,0.0005163789028778885,1500
fold_1,not_churned,attempt_success_count,0.0007001287409508389,1500
fold_1,not_churned,attempt_failure_count,0.0,1500
fold_1,not_churned,attempt_failure_rate,0.0,1500
fold_1,not_churned,attempt_amount_sum,0.008878193325430687,1500
fold_1,not_churned,attempt_amount_mean,0.011646165436740186,1500
fold_1,not_churned,attempt_amount_std,0.0014820377530867645,1500
fold_1,not_churned,attempt_amount_max,0.0052606516146982375,1500
fold_1,not_churned,attempt_first_day,6.19715172570979e-05,1500
fold_1,not_churned,attempt_last_day,0.01934358427559079,1500
fold_1,not_churned,attempt_night_rate,0.001082692696551884,1500
fold_1,not_churned,attempt_weekend_rate,0.00555844106705929,1500
fold_1,not_churned,attempt_distinct_failures,0.001998273211494938,1500
fold_1,not_churned,attempt_distinct_cards,0.00031345023396886447,1500
fold_1,not_churned,attempt_distinct_banks,0.004998899353824076,1500
fold_1,not_churned,attempt_distinct_card_countries,0.00100901991617809,1500
fold_1,not_churned,attempt_count_d1,0.005787602057545904,1500
fold_1,not_churned,attempt_failures_d1,0.0,1500
fold_1,not_churned,attempt_count_d3,0.0020193562648806434,1500
fold_1,not_churned,attempt_failures_d3,0.0009852854269421555,1500
fold_1,not_churned,attempt_count_d7,0.003661050678825023,1500
fold_1,not_churned,attempt_failures_d7,0.0,1500
fold_1,not_churned,attempt_count_d14,0.0002126022625881198,1500
fold_1,not_churned,attempt_failures_d14,0.00038095077746628305,1500
fold_1,not_churned,failure_card_declined_count,0.0006027549562159456,1500
fold_1,not_churned,failure_insufficient_funds_count,0.0,1500
fold_1,not_churned,failure_incorrect_cvc_count,0.0,1500
fold_1,not_churned,failure_expired_card_count,1.1589579631567546e-06,1500
fold_1,not_churned,failure_authentication_required_count,0.0,1500
fold_1,not_churned,failure_do_not_honor_count,0.0,1500
fold_1,not_churned,failure_processing_error_count,0.0,1500
fold_1,not_churned,failure_generic_decline_count,0.0,1500
fold_1,not_churned,is_3d_secure_rate,0.01034126369635542,1500
fold_1,not_churned,is_3d_secure_authenticated_rate,0.008197550952898912,1500
fold_1,not_churned,is_prepaid_rate,0.00105683950250443,1500
fold_1,not_churned,is_virtual_rate,0.0015714212258398615,1500
fold_1,not_churned,is_business_rate,0.08197591665670939,1500
fold_1,not_churned,attempt_last_billing_address_country,0.08911102802269744,1500
fold_1,not_churned,attempt_last_card_3d_secure_support,0.1770252324952671,1500
fold_1,not_churned,attempt_last_card_brand,0.020891167097164518,1500
fold_1,not_churned,attempt_last_card_country,0.07065150946632459,1500
fold_1,not_churned,attempt_last_card_funding,0.040399644406743984,1500
fold_1,not_churned,attempt_last_cvc_check,0.03586372504074533,1500
fold_1,not_churned,attempt_last_digital_wallet,0.008075300468945432,1500
fold_1,not_churned,attempt_last_payment_method_type,0.0,1500
fold_1,not_churned,attempt_last_bank_name,0.08610897273168566,1500
fold_1,not_churned,attempt_last_bank_country,0.009504075315803861,1500
fold_1,not_churned,attempt_last_failure_code,0.013579185849625633,1500
fold_1,not_churned,attempt_span_days,0.0037243880160306186,1500
fold_1,not_churned,attempt_success_rate,0.0,1500
fold_1,not_churned,purchase_count,0.0,1500
fold_1,not_churned,purchase_unique_transactions,0.0,1500
fold_1,not_churned,purchase_active_days,5.9369946165249685e-05,1500
fold_1,not_churned,purchase_amount_sum,0.0030789938678907635,1500
fold_1,not_churned,purchase_amount_mean,0.004676334427831961,1500
fold_1,not_churned,purchase_amount_std,0.003234713117420564,1500
