transition,feature,value,count,proportion,base_proportion,lift_vs_final_cohort
vol_churn -> vol_churn,attempt_last_cvc_check,pass,487,0.6519410977242303,0.6265333333333334,1.0405529331627423
vol_churn -> vol_churn,attempt_last_cvc_check,not_provided,247,0.33065595716198126,0.352,0.9393635146647196
vol_churn -> vol_churn,attempt_last_cvc_check,unavailable,12,0.01606425702811245,0.018,0.892458723784025
vol_churn -> vol_churn,attempt_last_cvc_check,fail,1,0.0013386880856760374,0.0017333333333333333,0.7723200494284832
invol_churn -> invol_churn,attempt_last_failure_code,unknown,1591,0.8708264915161467,0.9370666666666667,0.9293111392104582
invol_churn -> invol_churn,attempt_last_failure_code,card_declined,232,0.12698412698412698,0.06166666666666667,2.0592020592020592
invol_churn -> invol_churn,attempt_last_failure_code,incorrect_number,2,0.0010946907498631637,0.0003333333333333333,3.2840722495894914
invol_churn -> invol_churn,attempt_last_failure_code,authentication_required,1,0.0005473453749315818,0.0003333333333333333,1.6420361247947457
invol_churn -> invol_churn,attempt_last_failure_code,processing_error,1,0.0005473453749315818,0.0002,2.736726874657909
invol_churn -> not_churned,attempt_last_failure_code,unknown,1317,0.9400428265524625,0.9370666666666667,1.0031760385804593
invol_churn -> not_churned,attempt_last_failure_code,card_declined,84,0.059957173447537475,0.06166666666666667,0.9722784883384455
invol_churn -> vol_churn,attempt_last_failure_code,unknown,318,0.9436201780415431,0.9370666666666667,1.0069936447512198
invol_churn -> vol_churn,attempt_last_failure_code,card_declined,18,0.05341246290801187,0.06166666666666667,0.8661480471569492
invol_churn -> vol_churn,attempt_last_failure_code,incorrect_cvc,1,0.002967359050445104,0.0002,14.836795252225519
not_churned -> invol_churn,attempt_last_failure_code,unknown,1310,0.8750835003340013,0.9370666666666667,0.9338540484497737
not_churned -> invol_churn,attempt_last_failure_code,card_declined,179,0.11957247828991316,0.06166666666666667,1.9390131614580512
not_churned -> invol_churn,attempt_last_failure_code,authentication_required,2,0.0013360053440213762,0.0003333333333333333,4.008016032064129
not_churned -> invol_churn,attempt_last_failure_code,processing_error,2,0.0013360053440213762,0.0002,6.680026720106881
not_churned -> invol_churn,attempt_last_failure_code,expired_card,1,0.0006680026720106881,6.666666666666667e-05,10.02004008016032
not_churned -> invol_churn,attempt_last_failure_code,invalid_cvc,1,0.0006680026720106881,0.00013333333333333334,5.01002004008016
not_churned -> invol_churn,attempt_last_failure_code,incorrect_number,1,0.0006680026720106881,0.0003333333333333333,2.0040080160320644
not_churned -> invol_churn,attempt_last_failure_code,incorrect_cvc,1,0.0006680026720106881,0.0002,3.3400133600534403
not_churned -> not_churned,attempt_last_failure_code,unknown,5088,0.9610880241783151,0.9370666666666667,1.0256346302415142
not_churned -> not_churned,attempt_last_failure_code,card_declined,203,0.038345296562145824,0.06166666666666667,0.621815619926689
not_churned -> not_churned,attempt_last_failure_code,incorrect_number,2,0.00037778617302606723,0.0003333333333333333,1.1333585190782018
not_churned -> not_churned,attempt_last_failure_code,incorrect_cvc,1,0.00018889308651303362,0.0002,0.944465432565168
not_churned -> vol_churn,attempt_last_failure_code,unknown,803,0.9605263157894737,0.9370666666666667,1.025035197555642
not_churned -> vol_churn,attempt_last_failure_code,card_declined,32,0.03827751196172249,0.06166666666666667,0.6207164101900944
not_churned -> vol_churn,attempt_last_failure_code,authentication_required,1,0.0011961722488038277,0.0003333333333333333,3.588516746411483
vol_churn -> invol_churn,attempt_last_failure_code,unknown,622,0.8911174785100286,0.9370666666666667,0.9509648675050106
vol_churn -> invol_churn,attempt_last_failure_code,card_declined,75,0.10744985673352435,0.06166666666666667,1.7424301091922867
vol_churn -> invol_churn,attempt_last_failure_code,authentication_required,1,0.0014326647564469914,0.0003333333333333333,4.2979942693409745
vol_churn -> not_churned,attempt_last_failure_code,unknown,2287,0.9678374947101143,0.9370666666666667,1.0328373947532523
vol_churn -> not_churned,attempt_last_failure_code,card_declined,75,0.031739314430808296,0.06166666666666667,0.5146915853644588
vol_churn -> not_churned,attempt_last_failure_code,invalid_cvc,1,0.00042319085907744394,0.00013333333333333334,3.1739314430808294
vol_churn -> vol_churn,attempt_last_failure_code,unknown,720,0.963855421686747,0.9370666666666667,1.028587885977604
vol_churn -> vol_churn,attempt_last_failure_code,card_declined,27,0.03614457831325301,0.06166666666666667,0.5861282969716705
